timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1645994577006,384,My HTTP Request,200,OK,My Thread Group 1-1,text,true,,25292,135,3,3,382,0,256
1645994577132,259,My HTTP Request,200,OK,My Thread Group 1-2,text,true,,25296,135,3,3,257,0,131
1645994577334,176,My HTTP Request,200,OK,My Thread Group 1-3,text,true,,25294,135,1,1,176,0,66
1645994577538,183,My HTTP Request,200,OK,My Thread Group 1-4,text,true,,25306,135,1,1,181,0,88
1645994577739,205,My HTTP Request,200,OK,My Thread Group 1-5,text,true,,25294,135,1,1,201,0,76
